player,2019_20_salary,2020_21_salary,2021_22_salary,2022_23_salary
Robert Franks,898310.00,0.00,0.00,0.00
Kobi Simmons,898310.00,0.00,0.00,0.00
Adam Mokoka,898310.00,0.00,0.00,0.00
Max Strus,898310.00,0.00,0.00,0.00
Tyler Cook,898310.00,0.00,0.00,0.00
Dean Wade,898310.00,0.00,0.00,0.00
Antonius Cleveland,898310.00,0.00,0.00,0.00
Josh Reaves,898310.00,0.00,0.00,0.00
Bol Bol,898310.00,0.00,0.00,0.00
PJ Dozier,898310.00,0.00,0.00,0.00
Jordan Bone,898310.00,0.00,0.00,0.00
Louis King,898310.00,0.00,0.00,0.00
Ky Bowman,898310.00,0.00,0.00,0.00
Damion Lee,898310.00,0.00,0.00,0.00
Chris Clemons,898310.00,0.00,0.00,0.00
Michael Frazier,898310.00,0.00,0.00,0.00
Brian Bowen,898310.00,0.00,0.00,0.00
Naz Long,898310.00,0.00,0.00,0.00
Amir Coffey,898310.00,0.00,0.00,0.00
Johnathan Motley,898310.00,0.00,0.00,0.00
Kostas Antetokounmpo,898310.00,0.00,0.00,0.00
Zach Norvell,898310.00,0.00,0.00,0.00
John Konchar,898310.00,0.00,0.00,0.00
Yuta Watanabe,898310.00,0.00,0.00,0.00
Daryl Macon,898310.00,0.00,0.00,0.00
Chris Silva,898310.00,0.00,0.00,0.00
Frank Mason,898310.00,0.00,0.00,0.00
Cam Reynolds,898310.00,0.00,0.00,0.00
Jordan McLaughlin,898310.00,0.00,0.00,0.00
Kelan Martin,898310.00,0.00,0.00,0.00
Zylan Cheatham,898310.00,0.00,0.00,0.00
Josh Gray,898310.00,0.00,0.00,0.00
Kadeem Allen,898310.00,0.00,0.00,0.00
Ivan Rabb,898310.00,0.00,0.00,0.00
Luguentz Dort,898310.00,0.00,0.00,0.00
Devon Hall,898310.00,0.00,0.00,0.00
BJ Johnson,898310.00,0.00,0.00,0.00
Josh Magette,898310.00,0.00,0.00,0.00
Norvel Pelle,898310.00,0.00,0.00,0.00
Marial Shayok,898310.00,0.00,0.00,0.00
Jared Harper,898310.00,0.00,0.00,0.00
Moses Brown,898310.00,0.00,0.00,0.00
Jaylen Hoard,898310.00,0.00,0.00,0.00
Wenyen Gabriel,898310.00,0.00,0.00,0.00
Kyle Guy,898310.00,0.00,0.00,0.00
Drew Eubanks,898310.00,0.00,0.00,0.00
Quinndary Weatherspoon,898310.00,0.00,0.00,0.00
Oshae Brissett,898310.00,0.00,0.00,0.00
Shamorie Ponds,898310.00,0.00,0.00,0.00
Jarrell Brantley,898310.00,0.00,0.00,0.00
Justin Wright-Foreman,898310.00,0.00,0.00,0.00
Chris Chiozza,898310.00,0.00,0.00,0.00
Garrison Mathews,898310.00,0.00,0.00,0.00
Joe Chealey,898310.00,0.00,0.00,0.00
Tyler Lydon,898310.00,0.00,0.00,0.00
Carmelo Anthony,898310.00,0.00,0.00,0.00
Anzejs Pasecniks,898310.00,0.00,0.00,0.00
